file,n_frames,pose_valid_ratio,fdd_like_blend,fdd_like_pose,speed_mean,speed_p95,speed_p99,speed_spike_ratio_gt_p99,jerk_mean,jerk_p95,jerk_p99,jerk_spike_ratio_gt_p99,sym_bone_rel_diff_mean,sym_dyn_rel_diff_mean,shoulder_width_cv,hip_width_cv,left_upper_arm_cv,left_lower_arm_cv,right_upper_arm_cv,right_lower_arm_cv,left_thigh_cv,left_shin_cv,right_thigh_cv,right_shin_cv
quantitative_error_compensation/features/id01.txt,155,0.9612903225806452,0.0,46.699058532714844,32.34697723388672,64.41397857666014,91.68729644775398,0.013422818791946308,40.31505584716797,80.86844177246091,331.730837402348,0.013422818791946308,0.4071623608469963,0.4069435087220002,0.20063619483179687,0.21578072434149448,0.3287590881156996,0.4375864851435703,0.3656190209729111,0.3826901261309854,0.3779476386854263,0.2639228679106198,0.43389004697975436,0.23240510185531385
quantitative_error_compensation/features/id02.txt,150,0.9933333333333333,0.0,37.02374267578125,16.437427520751953,40.23647212982179,50.98859699249268,0.013513513513513514,18.57794952392578,49.995032119750974,58.668802108764616,0.013605442176870748,0.18117661215364933,0.5535594065499175,0.04607180058003661,0.08830912753793474,0.4702866968189778,0.2963069252470221,0.41274596213769704,0.3198307077539802,0.13729560693517848,0.13425537691880635,0.5963740189148192,0.28892216798690507
quantitative_error_compensation/features/id03.txt,150,1.0,0.0,46.08995056152344,37.32965087890625,87.83222808837887,124.32509216308605,0.013422818791946308,46.383094787597656,105.77605628967287,144.80622009277343,0.013513513513513514,0.5159545242786407,0.4743214662071826,0.44423315333512314,0.3743807275679931,0.4473106711170161,0.49885371925678373,0.42463456111408937,0.6063200756155284,0.17258758800601373,0.054637652080562364,0.1736622029442318,0.3043821948511776
quantitative_error_compensation/features/id04.txt,148,1.0,0.0,45.78809356689453,20.339797973632812,45.488796997070274,62.93611396789548,0.013605442176870748,23.005064010620117,48.40194129943848,92.8639503479005,0.0136986301369863,0.43952590972185135,0.5131344265090937,0.17426269553902188,0.12734413316310822,0.5420251869801895,0.4246612418863726,0.4733496513661993,0.46754121546845756,0.317635822182282,0.2981331033553511,0.06804863989840537,0.38491173552160723
quantitative_error_compensation/features/id05.txt,148,1.0,0.0,46.32279968261719,15.466753959655762,29.905450057983394,47.59532684326164,0.013605442176870748,16.038997650146484,33.84109115600586,52.36394958496105,0.0136986301369863,0.30089851655066013,0.12109149783238828,0.2507643995344874,0.17961249861302014,0.43873463946736213,0.4258407072951886,0.35812159487331713,0.37058962317616334,0.21348125234150364,0.2108290893580721,0.08164551954114957,0.16635178319111388
quantitative_error_compensation/features/id06.txt,155,0.967741935483871,0.0,42.340267181396484,27.109785079956055,68.46023330688472,102.81375343322738,0.013333333333333334,37.48040771484375,111.1609775543212,350.1390661621058,0.013333333333333334,0.2442915365099907,0.2875877286919923,0.3738470300531192,0.4199195142451514,0.29396398108436655,0.18926436955546302,0.26481185919089245,0.2989266538599648,0.4374926477539721,0.31928653237817234,0.41556613559142086,0.2619790993023124
quantitative_error_compensation/features/id07.txt,152,0.993421052631579,0.0,49.65936279296875,27.8408145904541,63.89047737121577,109.21365913391094,0.013333333333333334,36.477691650390625,89.60089874267577,138.5976806640626,0.013422818791946308,0.2495674155652523,0.09000427439898813,0.42755805779989364,0.454895848125018,0.3815168327001141,0.4291901684595267,0.4718262897159604,0.42949853653839376,0.19883126760829797,0.20690388814693977,0.1311463371098303,0.27498405291849104
quantitative_error_compensation/features/id08.txt,155,0.967741935483871,0.0,29.06256103515625,20.89521598815918,49.03520545959468,99.18696838378888,0.013333333333333334,25.184900283813477,60.394469451904264,93.61161224365237,0.013422818791946308,0.18695640563964844,0.3905655030065904,0.4605701270850481,0.2703146326431742,0.31926170663502124,0.3320009797676347,0.3297593537339026,0.33192727291794083,0.12287346070164168,0.06308190506239941,0.12650191114509934,0.17611042334259047
quantitative_error_compensation/features/id09.txt,148,0.9864864864864865,0.0,45.36039352416992,28.834712982177734,49.37008762359619,57.747851943969756,0.0136986301369863,31.699506759643555,50.37592697143555,310.9098373413135,0.0136986301369863,0.20806200243532658,0.37014753003302436,0.3943926772734262,0.36918471705419453,0.5067998212524274,0.5082388793070124,0.46954353783275016,0.463535586568081,0.09962440001455786,0.2814597836658852,0.10647491296472378,0.26726713949779957
quantitative_error_compensation/features/id10.txt,162,0.9259259259259259,0.0,53.20211410522461,24.661405563354492,55.242269325256345,82.76563316345204,0.013333333333333334,35.96427917480469,96.12161827087387,337.18257690429346,0.013333333333333334,0.23891640827059746,0.5833006333759692,0.5997990151956136,0.5588616551361729,0.14615097012887507,0.29157437518110657,0.19191703493657647,0.19902247063185974,0.3114563802272433,0.32606602569188653,0.20364335985152995,0.10919997279963457
quantitative_error_compensation/features/id11.txt,155,0.967741935483871,0.0,36.57740783691406,25.180618286132812,48.991551971435484,86.5895249938962,0.013333333333333334,30.70836639404297,51.51941261291502,316.87439178466377,0.013333333333333334,0.19482749328017235,0.466458876047865,0.23322147853807076,0.18959656220623355,0.15872429247723127,0.15989899280725964,0.17542323870352555,0.27002113451117826,0.6367125102585203,0.23942940237136368,0.1622194134813644,0.2011504851449
quantitative_error_compensation/features/id12.txt,154,0.974025974025974,0.0,55.58803176879883,27.26519203186035,56.47262058258054,70.60541206359851,0.013333333333333334,37.43944549560547,67.09521579742416,354.53194732665617,0.013333333333333334,0.27998029813170433,0.06847940648793947,0.212801942550876,0.16199346263794792,0.31925882815520124,0.38389940737157857,0.3383626339891591,0.40494616702871034,0.23952568758533013,0.19855406373066448,0.2894959071537078,0.16030842816749932
